Year,firstName,lastName,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
22-23,Goran,Dragi?,PG,36,CHI,51,0,787,127,299,0.425,45,128,0.352,82,171,0.48,0.5,27,41,0.659,13,56,69,139,11,4,56,63,326
22-23,Goran,Dragi?,PG,36,MIL,7,0,83,14,36,0.389,7,17,0.412,7,19,0.368,0.486,4,4,1,3,9,12,12,2,0,7,2,39
22-23,Andre,Drummond,C,29,CHI,67,0,849,166,274,0.606,0,3,0,166,271,0.613,0.606,67,125,0.536,138,306,444,33,45,27,75,117,399
22-23,Chris,Duarte,SF,25,IND,46,12,897,123,333,0.369,55,174,0.316,68,159,0.428,0.452,61,72,0.847,19,96,115,64,25,9,41,65,362
22-23,David,Duke,SG,23,BRK,23,0,228,36,78,0.462,1,12,0.083,35,66,0.53,0.468,12,17,0.706,11,18,29,21,10,1,18,31,85
22-23,Kris,Dunn,PG,28,UTA,22,3,568,116,216,0.537,17,36,0.472,99,180,0.55,0.576,41,53,0.774,9,91,100,124,25,10,35,58,290
22-23,Kevin,Durant,PF,34,TOT,47,47,1672,483,862,0.56,93,230,0.404,390,632,0.617,0.614,307,334,0.919,17,296,313,235,34,67,156,99,1366
22-23,Kevin,Durant,PF,34,BRK,39,39,1403,410,734,0.559,71,189,0.376,339,545,0.622,0.607,267,286,0.934,14,248,262,207,32,57,136,92,1158
22-23,Kevin,Durant,PF,34,PHO,8,8,269,73,128,0.57,22,41,0.537,51,87,0.586,0.656,40,48,0.833,3,48,51,28,2,10,20,7,208
22-23,Jalen,Duren,C,19,DET,67,31,1670,258,398,0.648,0,2,0,258,396,0.652,0.648,96,157,0.611,229,366,595,75,44,59,92,182,612
22-23,Tari,Eason,PF,21,HOU,82,5,1767,296,660,0.448,59,172,0.343,237,488,0.486,0.493,109,145,0.752,195,301,496,88,96,47,101,189,760
22-23,Anthony,Edwards,SG,21,MIN,79,79,2842,707,1541,0.459,213,578,0.369,494,963,0.513,0.528,319,422,0.756,47,411,458,350,125,58,259,186,1946
22-23,Kessler,Edwards,SF,22,TOT,36,4,385,36,93,0.387,17,55,0.309,19,38,0.5,0.478,11,15,0.733,23,38,61,23,14,6,13,40,100
22-23,Kessler,Edwards,SF,22,BRK,14,1,79,6,24,0.25,2,12,0.167,4,12,0.333,0.292,1,2,0.5,6,8,14,2,3,1,4,3,15
22-23,Kessler,Edwards,SF,22,SAC,22,3,306,30,69,0.435,15,43,0.349,15,26,0.577,0.543,10,13,0.769,17,30,47,21,11,5,9,37,85
22-23,Keon,Ellis,SG,23,SAC,16,0,71,7,16,0.438,6,12,0.5,1,4,0.25,0.625,4,7,0.571,4,4,8,6,5,1,1,10,24
22-23,Joel,Embiid,C,28,PHI,66,66,2284,728,1328,0.548,66,200,0.33,662,1128,0.587,0.573,661,771,0.857,113,557,670,274,66,112,226,205,2183
22-23,Drew,Eubanks,C,25,POR,78,28,1584,214,334,0.641,7,18,0.389,207,316,0.655,0.651,83,125,0.664,132,286,418,103,40,102,67,169,518
22-23,Bruno,Fernando,C,24,TOT,39,4,405,59,112,0.527,0,4,0,59,108,0.546,0.527,35,50,0.7,54,83,137,31,6,34,25,74,153
22-23,Bruno,Fernando,C,24,HOU,31,4,364,48,93,0.516,0,1,0,48,92,0.522,0.516,30,44,0.682,48,74,122,30,6,31,20,68,126
22-23,Bruno,Fernando,C,24,ATL,8,0,41,11,19,0.579,0,3,0,11,16,0.688,0.579,5,6,0.833,6,9,15,1,0,3,5,6,27
22-23,Dorian,Finney-Smith,PF,29,TOT,66,66,2009,196,501,0.391,114,338,0.337,82,163,0.503,0.505,45,59,0.763,114,202,316,100,55,36,62,144,551
22-23,Dorian,Finney-Smith,PF,29,DAL,40,40,1288,129,310,0.416,77,217,0.355,52,93,0.559,0.54,30,40,0.75,67,121,188,59,38,20,36,80,365
22-23,Dorian,Finney-Smith,PF,29,BRK,26,26,721,67,191,0.351,37,121,0.306,30,70,0.429,0.448,15,19,0.789,47,81,128,41,17,16,26,64,186
22-23,Malachi,Flynn,PG,24,TOR,53,2,691,87,242,0.36,47,133,0.353,40,109,0.367,0.457,25,33,0.758,15,61,76,70,21,4,25,65,246
22-23,Simone,Fontecchio,SF,27,UTA,52,6,766,115,312,0.369,63,191,0.33,52,121,0.43,0.47,35,44,0.795,31,55,86,42,15,8,39,62,328
22-23,Bryn,Forbes,SG,29,MIN,25,0,268,30,83,0.361,14,46,0.304,16,37,0.432,0.446,15,15,1,4,11,15,17,7,2,12,22,89
22-23,Trent,Forrest,SG,24,ATL,23,3,277,25,60,0.417,0,2,0,25,58,0.431,0.417,2,3,0.667,5,32,37,38,7,2,15,17,52
22-23,Michael,Foster,PF,20,PHI,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
22-23,Evan,Fournier,SG,30,NYK,27,7,459,56,166,0.337,35,114,0.307,21,52,0.404,0.443,18,21,0.857,4,45,49,36,16,3,22,46,165
22-23,De'Aaron,Fox,PG,25,SAC,73,73,2435,682,1331,0.512,119,367,0.324,563,964,0.584,0.557,343,440,0.78,40,266,306,447,83,23,181,172,1826
22-23,Markelle,Fultz,PG,24,ORL,60,60,1778,349,679,0.514,27,87,0.31,322,592,0.544,0.534,112,143,0.783,69,165,234,341,87,26,139,131,837
22-23,Wenyen,Gabriel,C,25,LAL,68,2,1024,155,260,0.596,10,36,0.278,145,224,0.647,0.615,52,84,0.619,116,170,286,36,26,35,46,144,372
22-23,Daniel,Gafford,C,24,WAS,78,47,1604,289,395,0.732,0,0,,289,395,0.732,0.732,127,187,0.679,163,270,433,84,33,99,85,187,705
22-23,Darius,Garland,PG,23,CLE,69,69,2447,522,1129,0.462,169,412,0.41,353,717,0.492,0.537,277,321,0.863,28,157,185,538,85,9,199,148,1490
22-23,Usman,Garuba,C,20,HOU,75,1,970,86,177,0.486,24,59,0.407,62,118,0.525,0.554,29,47,0.617,120,187,307,64,44,29,47,135,225
22-23,Luka,Garza,C,24,MIN,28,0,243,63,116,0.543,14,39,0.359,49,77,0.636,0.603,41,52,0.788,33,30,63,18,3,2,14,43,181
22-23,Rudy,Gay,PF,36,UTA,56,0,816,109,287,0.38,33,130,0.254,76,157,0.484,0.437,42,49,0.857,33,130,163,57,19,18,37,68,293
22-23,Paul,George,SF,32,LAC,56,56,1939,459,1004,0.457,158,426,0.371,301,578,0.521,0.536,256,294,0.871,45,297,342,288,83,20,176,159,1332
22-23,Taj,Gibson,C,37,WAS,49,2,480,65,125,0.52,8,24,0.333,57,101,0.564,0.552,30,42,0.714,32,61,93,34,15,12,26,84,168
22-23,Josh,Giddey,PF,20,OKC,76,76,2367,539,1118,0.482,76,234,0.325,463,884,0.524,0.516,106,145,0.731,148,451,599,469,57,31,211,143,1260
22-23,Shai,Gilgeous-Alexander,PG,24,OKC,68,68,2416,704,1381,0.51,58,168,0.345,646,1213,0.533,0.531,669,739,0.905,59,270,329,371,112,65,192,192,2135
22-23,Anthony,Gill,PF,30,WAS,59,8,624,71,132,0.538,4,29,0.138,67,103,0.65,0.553,49,67,0.731,37,62,99,34,7,12,15,70,195
22-23,Jacob,Gilyard,PG,24,MEM,1,0,41,1,3,0.333,1,3,0.333,0,0,,0.5,0,0,,0,4,4,7,3,0,2,3,3
22-23,Rudy,Gobert,C,30,MIN,70,70,2148,360,546,0.659,0,3,0,360,543,0.663,0.659,219,340,0.644,231,583,814,87,56,95,122,210,939
22-23,Jordan,Goodwin,PG,24,WAS,62,7,1106,158,353,0.448,38,118,0.322,120,235,0.511,0.501,53,69,0.768,57,148,205,168,58,26,57,95,407
22-23,Aaron,Gordon,PF,27,DEN,68,68,2055,429,761,0.564,60,173,0.347,369,588,0.628,0.603,191,314,0.608,164,282,446,203,54,51,98,129,1109
22-23,Eric,Gordon,SG,34,TOT,69,58,1965,291,653,0.446,132,356,0.371,159,297,0.535,0.547,142,173,0.821,16,118,134,183,43,25,104,78,856
22-23,Eric,Gordon,SG,34,HOU,47,47,1418,210,478,0.439,85,245,0.347,125,233,0.536,0.528,110,135,0.815,12,85,97,136,30,17,83,45,615
22-23,Eric,Gordon,SG,34,LAC,22,11,547,81,175,0.463,47,111,0.423,34,64,0.531,0.597,32,38,0.842,4,33,37,47,13,8,21,33,241
22-23,Devonte',Graham,PG,27,TOT,73,8,1338,161,431,0.374,119,338,0.352,42,93,0.452,0.512,98,131,0.748,19,103,122,196,45,16,53,79,539
22-23,Devonte',Graham,PG,27,NOP,53,0,811,85,231,0.368,66,190,0.347,19,41,0.463,0.511,44,59,0.746,12,60,72,116,30,10,27,48,280
22-23,Devonte',Graham,PG,27,SAS,20,8,527,76,200,0.38,53,148,0.358,23,52,0.442,0.513,54,72,0.75,7,43,50,80,15,6,26,31,259
22-23,Jerami,Grant,PF,28,POR,63,63,2246,434,913,0.475,144,359,0.401,290,554,0.523,0.554,278,342,0.813,53,230,283,150,51,53,116,152,1290
22-23,RaiQuan,Gray,PF,23,BRK,1,0,35,6,12,0.5,2,5,0.4,4,7,0.571,0.583,2,2,1,3,6,9,7,0,1,4,5,16
22-23,A.J.,Green,SG,23,MIL,35,1,345,53,125,0.424,44,105,0.419,9,20,0.45,0.6,4,4,1,6,39,45,22,6,0,9,31,154
22-23,Danny,Green,SG,35,TOT,11,0,138,22,49,0.449,16,37,0.432,6,12,0.5,0.612,1,1,1,3,11,14,6,6,3,10,16,61
22-23,Danny,Green,SG,35,MEM,3,0,43,3,11,0.273,3,8,0.375,0,3,0,0.409,0,0,,1,3,4,2,1,0,3,6,9
22-23,Danny,Green,SG,35,CLE,8,0,95,19,38,0.5,13,29,0.448,6,9,0.667,0.671,1,1,1,2,8,10,4,5,3,7,10,52
22-23,Draymond,Green,PF,32,GSW,73,73,2297,250,474,0.527,40,131,0.305,210,343,0.612,0.57,77,108,0.713,66,459,525,500,74,60,204,229,617
22-23,Jalen,Green,SG,20,HOU,76,76,2602,566,1359,0.416,187,554,0.338,379,805,0.471,0.485,364,463,0.786,43,241,284,281,59,18,200,131,1683
22-23,JaMychal,Green,PF,32,GSW,57,1,797,136,252,0.54,42,111,0.378,94,141,0.667,0.623,52,67,0.776,72,133,205,51,25,23,52,105,366
22-23,Javonte,Green,SF,29,CHI,32,1,480,61,108,0.565,13,35,0.371,48,73,0.658,0.625,30,45,0.667,27,61,88,23,24,21,20,52,165
22-23,Jeff,Green,PF,36,DEN,56,4,1091,160,328,0.488,30,104,0.288,130,224,0.58,0.534,87,117,0.744,38,106,144,69,18,17,46,99,437
22-23,Josh,Green,SG,22,DAL,60,21,1539,205,382,0.537,68,169,0.402,137,213,0.643,0.626,68,94,0.723,55,127,182,103,42,5,72,156,546
22-23,AJ,Griffin,SF,19,ATL,72,12,1401,248,533,0.465,101,259,0.39,147,274,0.536,0.56,42,47,0.894,37,116,153,73,42,12,42,87,639
22-23,Blake,Griffin,C,33,BOS,41,16,569,63,130,0.485,23,66,0.348,40,64,0.625,0.573,21,32,0.656,47,108,155,61,14,9,22,75,170
22-23,Quentin,Grimes,SG,22,NYK,71,66,2121,282,602,0.468,157,407,0.386,125,195,0.641,0.599,78,98,0.796,49,180,229,150,47,26,69,177,799
22-23,Rui,Hachimura,PF,24,TOT,63,9,1466,284,584,0.486,51,160,0.319,233,424,0.55,0.53,88,119,0.739,53,230,283,58,19,26,53,72,707
22-23,Rui,Hachimura,PF,24,WAS,30,0,728,158,324,0.488,30,89,0.337,128,235,0.545,0.534,44,58,0.759,19,109,128,35,11,12,36,39,390
22-23,Rui,Hachimura,PF,24,LAL,33,9,738,126,260,0.485,21,71,0.296,105,189,0.556,0.525,44,61,0.721,34,121,155,23,8,14,17,33,317
22-23,Tyrese,Haliburton,PG,22,IND,56,56,1883,412,841,0.49,161,402,0.4,251,439,0.572,0.586,175,201,0.871,33,172,205,585,91,25,141,69,1160
22-23,Jordan,Hall,SF,21,SAS,9,0,83,9,28,0.321,3,15,0.2,6,13,0.462,0.375,7,9,0.778,3,9,12,11,1,0,7,6,28
22-23,R.J.,Hampton,SG,21,TOT,47,3,750,102,237,0.43,41,116,0.353,61,121,0.504,0.517,57,76,0.75,18,69,87,54,27,9,42,51,302
22-23,R.J.,Hampton,SG,21,ORL,26,0,361,50,114,0.439,18,53,0.34,32,61,0.525,0.518,31,37,0.838,9,30,39,34,16,4,21,22,149
22-23,R.J.,Hampton,SG,21,DET,21,3,389,52,123,0.423,23,63,0.365,29,60,0.483,0.516,26,39,0.667,9,39,48,20,11,5,21,29,153
22-23,Tim,Hardaway,SF,30,DAL,71,45,2152,340,847,0.401,212,550,0.385,128,297,0.431,0.527,127,165,0.77,21,230,251,129,49,12,60,120,1019
22-23,James,Harden,PG,33,PHI,58,58,2135,371,842,0.441,161,418,0.385,210,424,0.495,0.536,313,361,0.867,40,314,354,618,71,31,195,112,1216
22-23,Jaden,Hardy,SG,20,DAL,48,5,708,146,333,0.438,63,156,0.404,83,177,0.469,0.533,65,79,0.823,11,78,89,65,17,7,46,64,420
22-23,Ron,Harper,PF,22,TOR,9,0,48,8,16,0.5,3,9,0.333,5,7,0.714,0.594,1,1,1,3,4,7,4,0,1,0,3,20
22-23,Montrezl,Harrell,C,29,PHI,57,7,681,125,209,0.598,0,6,0,125,203,0.616,0.598,70,101,0.693,67,92,159,33,17,25,35,75,320
22-23,Gary,Harris,SG,28,ORL,48,42,1184,138,307,0.45,94,218,0.431,44,89,0.494,0.603,27,30,0.9,21,77,98,59,45,12,28,93,397
22-23,Joe,Harris,SF,31,BRK,74,33,1527,201,440,0.457,142,333,0.426,59,107,0.551,0.618,18,28,0.643,23,141,164,101,34,13,41,140,562
22-23,Kevon,Harris,SG,25,ORL,34,0,457,47,107,0.439,16,43,0.372,31,64,0.484,0.514,31,41,0.756,28,42,70,16,17,5,21,53,141
22-23,Tobias,Harris,SF,30,PHI,74,74,2436,423,845,0.501,126,324,0.389,297,521,0.57,0.575,113,129,0.876,67,357,424,186,68,40,89,149,1085
22-23,Shaquille,Harrison,SG,29,POR,5,0,120,15,36,0.417,3,10,0.3,12,26,0.462,0.458,11,15,0.733,1,21,22,30,11,2,6,12,44
22-23,Josh,Hart,SF,27,TOT,76,52,2454,275,520,0.529,61,164,0.372,214,356,0.601,0.588,132,176,0.75,142,451,593,290,88,21,117,195,743
22-23,Josh,Hart,SF,27,POR,51,51,1704,183,363,0.504,34,112,0.304,149,251,0.594,0.551,87,119,0.731,95,322,417,200,54,9,79,133,487
22-23,Josh,Hart,SF,27,NYK,25,1,750,92,157,0.586,27,52,0.519,65,105,0.619,0.672,45,57,0.789,47,129,176,90,34,12,38,62,256
22-23,Isaiah,Hartenstein,C,24,NYK,82,8,1626,175,327,0.535,8,37,0.216,167,290,0.576,0.547,48,71,0.676,209,327,536,102,53,64,66,213,406
22-23,Udonis,Haslem,C,42,MIA,7,1,71,10,29,0.345,3,9,0.333,7,20,0.35,0.397,4,5,0.8,4,7,11,0,1,2,1,11,27
22-23,Sam,Hauser,SF,25,BOS,80,8,1290,180,396,0.455,140,335,0.418,40,61,0.656,0.631,12,17,0.706,35,169,204,71,29,21,30,99,512
22-23,Jaxson,Hayes,C,22,NOP,47,2,610,86,156,0.551,3,29,0.103,83,127,0.654,0.561,58,83,0.699,39,93,132,34,20,19,31,67,233
22-23,Killian,Hayes,PG,21,DET,76,56,2154,307,815,0.377,80,286,0.28,227,529,0.429,0.426,92,112,0.821,28,193,221,470,104,28,173,219,786
22-23,Gordon,Hayward,SF,32,CHO,50,50,1577,276,581,0.475,52,160,0.325,224,421,0.532,0.52,129,159,0.811,33,182,215,206,42,12,99,70,733
22-23,Juancho,Hernangómez,PF,27,TOR,42,10,614,48,114,0.421,17,67,0.254,31,47,0.66,0.496,9,16,0.563,27,96,123,25,16,6,15,43,122
22-23,Willy,Hernangómez,C,28,NOP,38,2,458,89,169,0.527,3,11,0.273,86,158,0.544,0.536,81,104,0.779,58,122,180,33,17,13,39,64,262
22-23,Tyler,Herro,SG,23,MIA,67,67,2337,487,1109,0.439,203,537,0.378,284,572,0.497,0.531,170,182,0.934,27,333,360,280,51,16,158,101,1347
22-23,Buddy,Hield,SF,30,IND,80,73,2482,475,1038,0.458,288,677,0.425,187,361,0.518,0.596,106,129,0.822,67,333,400,225,92,26,139,156,1344
22-23,Haywood,Highsmith,PF,26,MIA,54,11,969,93,216,0.431,37,109,0.339,56,107,0.523,0.516,13,28,0.464,57,131,188,43,36,17,45,82,236
22-23,George,Hill,PG-SG,36,TOT,46,1,834,78,166,0.47,34,95,0.358,44,71,0.62,0.572,42,55,0.764,15,70,85,110,26,6,34,55,232
22-23,George,Hill,PG,36,MIL,35,0,668,59,132,0.447,23,74,0.311,36,58,0.621,0.534,34,46,0.739,13,54,67,89,19,3,27,41,175
22-23,George,Hill,SG,36,IND,11,1,166,19,34,0.559,11,21,0.524,8,13,0.615,0.721,8,9,0.889,2,16,18,21,7,3,7,14,57
22-23,Malcolm,Hill,SF,27,CHI,5,0,9,2,4,0.5,1,3,0.333,1,1,1,0.625,0,0,,0,3,3,0,0,0,0,1,5
22-23,Aaron,Holiday,PG,26,ATL,63,6,845,92,220,0.418,36,88,0.409,56,132,0.424,0.5,27,32,0.844,25,49,74,89,37,12,36,79,247
22-23,Jrue,Holiday,PG,32,MIL,67,65,2183,490,1023,0.479,158,411,0.384,332,612,0.542,0.556,152,177,0.859,79,262,341,495,79,25,197,116,1290
22-23,Justin,Holiday,SF,33,TOT,46,2,706,77,204,0.377,46,143,0.322,31,61,0.508,0.49,5,8,0.625,5,50,55,41,19,19,22,68,205
22-23,Justin,Holiday,SF,33,ATL,28,0,411,48,125,0.384,30,87,0.345,18,38,0.474,0.504,0,0,,2,21,23,25,5,10,12,37,126
22-23,Justin,Holiday,SF,33,DAL,18,2,295,29,79,0.367,16,56,0.286,13,23,0.565,0.468,5,8,0.625,3,29,32,16,14,9,10,31,79
22-23,Richaun,Holmes,C,29,SAC,42,1,348,55,89,0.618,5,8,0.625,50,81,0.617,0.646,15,19,0.789,29,51,80,9,3,11,14,50,130
22-23,Al,Horford,C,36,BOS,63,63,1922,228,479,0.476,145,325,0.446,83,154,0.539,0.627,15,21,0.714,73,317,390,189,30,61,37,121,616
22-23,Talen,Horton-Tucker,SG,22,UTA,65,20,1313,257,613,0.419,58,203,0.286,199,410,0.485,0.467,126,168,0.75,41,169,210,246,41,29,126,108,698
22-23,Danuel,House,SF,29,PHI,56,5,807,93,197,0.472,37,110,0.336,56,87,0.644,0.566,45,60,0.75,9,85,94,44,14,9,26,69,268
22-23,Caleb,Houstan,SF,20,ORL,51,4,812,66,182,0.363,46,136,0.338,20,46,0.435,0.489,15,18,0.833,34,65,99,30,12,7,18,63,193
22-23,Trevor,Hudgins,PG,23,HOU,5,0,28,2,9,0.222,2,8,0.25,0,1,0,0.333,3,3,1,0,0,0,3,0,0,1,1,9
22-23,Kevin,Huerter,SG,24,SAC,75,75,2203,420,866,0.485,205,510,0.402,215,356,0.604,0.603,95,131,0.725,42,209,251,221,80,24,97,181,1140
22-23,Jay,Huff,C,24,WAS,7,0,95,15,25,0.6,6,12,0.5,9,13,0.692,0.72,15,16,0.938,6,15,21,10,3,4,5,15,51
22-23,De'Andre,Hunter,SF,25,ATL,67,67,2126,379,822,0.461,100,286,0.35,279,536,0.521,0.522,171,207,0.826,46,238,284,94,35,17,82,199,1029
22-23,Bones,Hyland,PG,22,TOT,56,1,1085,228,571,0.399,117,315,0.371,111,256,0.434,0.502,86,102,0.843,20,115,135,172,39,15,82,96,659
22-23,Bones,Hyland,PG,22,DEN,42,1,820,173,434,0.399,91,241,0.378,82,193,0.425,0.503,71,82,0.866,10,76,86,125,28,13,67,66,508
22-23,Bones,Hyland,PG,22,LAC,14,0,265,55,137,0.401,26,74,0.351,29,63,0.46,0.496,15,20,0.75,10,39,49,47,11,2,15,30,151
22-23,Serge,Ibaka,C,33,MIL,16,0,185,26,54,0.481,6,18,0.333,20,36,0.556,0.537,8,13,0.615,15,29,44,4,2,7,11,23,66
22-23,Andre,Iguodala,PF,39,GSW,8,0,113,7,15,0.467,1,9,0.111,6,6,1,0.5,2,3,0.667,3,14,17,19,4,3,9,11,17
22-23,Joe,Ingles,SF,35,MIL,46,0,1044,108,248,0.435,83,203,0.409,25,45,0.556,0.603,18,21,0.857,13,115,128,150,33,6,55,74,317
22-23,Brandon,Ingram,SF,25,NOP,45,45,1538,404,835,0.484,64,164,0.39,340,671,0.507,0.522,240,272,0.882,23,223,246,262,32,19,148,116,1112
22-23,Kyrie,Irving,PG-SG,30,TOT,60,60,2241,594,1203,0.494,188,496,0.379,406,707,0.574,0.572,247,273,0.905,59,245,304,331,66,45,128,165,1623
22-23,Kyrie,Irving,PG,30,BRK,40,40,1478,398,819,0.486,130,348,0.374,268,471,0.569,0.565,158,179,0.883,38,166,204,211,41,33,91,109,1084
22-23,Kyrie,Irving,SG,30,DAL,20,20,763,196,384,0.51,58,148,0.392,138,236,0.585,0.586,89,94,0.947,21,79,100,120,25,12,37,56,539
22-23,Jonathan,Isaac,PF,25,ORL,11,0,124,22,53,0.415,6,15,0.4,16,38,0.421,0.472,5,9,0.556,15,29,44,6,14,4,4,5,55
22-23,Jaden,Ivey,SG,20,DET,74,73,2304,409,983,0.416,120,350,0.343,289,633,0.457,0.477,266,356,0.747,73,215,288,387,61,17,237,242,1204
22-23,Frank,Jackson,PG,24,UTA,1,0,5,0,3,0,0,1,0,0,2,0,0,0,0,,1,1,2,1,0,0,0,0,0
22-23,Isaiah,Jackson,C,21,IND,63,12,1042,179,318,0.563,2,14,0.143,177,304,0.582,0.566,95,146,0.651,113,169,282,51,31,93,51,154,455
22-23,Jaren,Jackson,C,23,MEM,63,63,1787,416,822,0.506,100,282,0.355,316,540,0.585,0.567,241,306,0.788,108,318,426,60,65,189,107,227,1173
22-23,Justin,Jackson,SF,27,BOS,23,0,107,7,27,0.259,5,20,0.25,2,7,0.286,0.352,1,2,0.5,2,15,17,9,4,4,2,7,20
22-23,Quenton,Jackson,PG,24,WAS,9,0,135,19,42,0.452,1,12,0.083,18,30,0.6,0.464,17,22,0.773,2,6,8,15,4,1,4,10,56
22-23,Reggie,Jackson,PG,32,TOT,68,40,1657,263,640,0.411,96,288,0.333,167,352,0.474,0.486,71,78,0.91,25,119,144,233,47,6,115,114,693
22-23,Reggie,Jackson,PG,32,LAC,52,38,1338,214,512,0.418,77,220,0.35,137,292,0.469,0.493,61,66,0.924,22,94,116,183,38,5,96,92,566
22-23,Reggie,Jackson,PG,32,DEN,16,2,319,49,128,0.383,19,68,0.279,30,60,0.5,0.457,10,12,0.833,3,25,28,50,9,1,19,22,127
22-23,LeBron,James,PF,38,LAL,55,54,1954,609,1219,0.5,121,377,0.321,488,842,0.58,0.549,251,327,0.768,65,392,457,375,50,32,178,88,1590
22-23,Ty,Jerome,SG,25,GSW,45,2,816,118,242,0.488,35,90,0.389,83,152,0.546,0.56,38,41,0.927,7,71,78,135,23,5,30,64,309
22-23,Isaiah,Joe,SG,23,OKC,73,10,1395,224,508,0.441,161,394,0.409,63,114,0.553,0.599,82,100,0.82,27,148,175,88,48,8,39,105,691
22-23,Alize,Johnson,PF,26,SAS,4,0,30,3,6,0.5,0,2,0,3,4,0.75,0.5,1,2,0.5,2,8,10,1,1,0,4,3,7
22-23,Cameron,Johnson,PF,26,TOT,42,41,1199,223,474,0.47,103,255,0.404,120,219,0.548,0.579,101,120,0.842,34,151,185,78,50,14,37,83,650
22-23,Cameron,Johnson,PF,26,PHO,17,16,429,82,173,0.474,45,99,0.455,37,74,0.5,0.604,27,33,0.818,14,51,65,26,15,6,10,29,236
22-23,Cameron,Johnson,PF,26,BRK,25,25,770,141,301,0.468,58,156,0.372,83,145,0.572,0.565,74,87,0.851,20,100,120,52,35,8,27,54,414
22-23,Jalen,Johnson,SF,21,ATL,70,6,1042,158,322,0.491,30,104,0.288,128,218,0.587,0.537,49,78,0.628,51,231,282,83,38,34,41,113,395
22-23,James,Johnson,PF,35,IND,18,1,162,22,49,0.449,3,15,0.2,19,34,0.559,0.48,4,8,0.5,4,26,30,15,7,6,8,32,51
22-23,Keldon,Johnson,SF,23,SAS,63,63,2063,503,1113,0.452,134,407,0.329,369,706,0.523,0.512,245,327,0.749,56,262,318,183,46,11,134,125,1385
22-23,Keon,Johnson,SG,20,POR,40,0,416,67,178,0.376,28,81,0.346,39,97,0.402,0.455,27,41,0.659,11,33,44,59,19,6,43,43,189
22-23,Stanley,Johnson,SF,26,SAS,30,0,469,65,122,0.533,18,40,0.45,47,82,0.573,0.607,26,39,0.667,22,73,95,67,16,6,33,48,174
22-23,Nikola,Joki?,C,27,DEN,69,69,2323,646,1022,0.632,57,149,0.383,589,873,0.675,0.66,341,415,0.822,167,650,817,678,87,47,247,174,1690
22-23,Carlik,Jones,PG,25,CHI,7,0,56,6,15,0.4,3,6,0.5,3,9,0.333,0.5,5,8,0.625,1,4,5,6,2,0,2,2,20
22-23,Damian,Jones,C,27,TOT,41,1,477,55,86,0.64,10,17,0.588,45,69,0.652,0.698,22,29,0.759,42,80,122,15,8,21,23,55,142
22-23,Damian,Jones,C,27,LAL,22,1,176,20,37,0.541,0,3,0,20,34,0.588,0.541,15,20,0.75,18,37,55,4,3,12,9,17,55
22-23,Damian,Jones,C,27,UTA,19,0,301,35,49,0.714,10,14,0.714,25,35,0.714,0.816,7,9,0.778,24,43,67,11,5,9,14,38,87
22-23,Derrick,Jones,PF,25,CHI,64,0,893,115,230,0.5,27,80,0.338,88,150,0.587,0.559,62,84,0.738,60,93,153,34,29,37,25,86,319
22-23,Herbert,Jones,PF,24,NOP,66,66,1951,235,501,0.469,56,167,0.335,179,334,0.536,0.525,123,161,0.764,97,172,269,162,103,42,88,208,649
22-23,Kai,Jones,C,22,CHO,46,0,550,67,120,0.558,4,19,0.211,63,101,0.624,0.575,19,26,0.731,37,86,123,15,17,30,31,65,157
22-23,Tre,Jones,PG,23,SAS,68,65,1984,341,743,0.459,45,158,0.285,296,585,0.506,0.489,148,172,0.86,56,189,245,448,89,9,110,98,875
22-23,Tyus,Jones,PG,26,MEM,80,22,1940,311,710,0.438,121,326,0.371,190,384,0.495,0.523,80,100,0.8,28,172,200,417,83,6,74,32,823
22-23,DeAndre,Jordan,C,34,DEN,39,8,586,88,115,0.765,1,1,1,87,114,0.763,0.77,22,48,0.458,52,150,202,34,12,23,48,71,199
22-23,Cory,Joseph,PG,31,DET,62,2,1227,150,351,0.427,70,180,0.389,80,171,0.468,0.527,57,72,0.792,21,85,106,217,34,9,56,88,427
22-23,Nikola,Jovi?,PF,19,MIA,15,8,204,28,69,0.406,8,35,0.229,20,34,0.588,0.464,18,19,0.947,9,22,31,10,7,2,10,19,82
22-23,Johnny,Juzang,SG,21,UTA,18,0,232,35,104,0.337,15,63,0.238,20,41,0.488,0.409,2,4,0.5,8,31,39,8,4,3,3,13,87
22-23,Mfiondu,Kabengele,PF,25,BOS,4,0,36,2,7,0.286,0,3,0,2,4,0.5,0.286,2,2,1,5,5,10,0,2,0,1,3,6
22-23,Frank,Kaminsky,C,29,TOT,36,0,235,31,63,0.492,13,33,0.394,18,30,0.6,0.595,14,16,0.875,7,45,52,32,6,4,9,22,89
22-23,Frank,Kaminsky,C,29,ATL,26,0,176,25,44,0.568,11,23,0.478,14,21,0.667,0.693,10,12,0.833,3,33,36,21,5,1,9,21,71
22-23,Frank,Kaminsky,C,29,HOU,10,0,59,6,19,0.316,2,10,0.2,4,9,0.444,0.368,4,4,1,4,12,16,11,1,3,0,1,18
